Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
PENNSYLVANIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190413
MASSACHUSETTS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190405
VIRGINIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190436
WEST SOUTH CENTRAL,2019,4,,-,15,,2,,5,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20190443
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190469
NEBRASKA,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190425
AMERICAN SAMOA,2019,4,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20190464
NEW MEXICO,2019,4,,-,2,,,-,1,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190454
ARIZONA,2019,4,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190449
ALABAMA,2019,4,,-,4,,2,,1,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190439
NEW YORK CITY,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20190112
MIDDLE ATLANTIC,2019,1,3,,29,,3,,4,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20190109
NORTH CAROLINA,2019,1,4,,17,,4,,3,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
HAWAII,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190160
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
EAST SOUTH CENTRAL,2019,1,,-,8,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20190138
